Network,Nodes count,PP,Measure,Seeds count,SF,IF,Iterations count
12_1.txt,1133,0.5,random,283,25,90.11,4
12_1.txt,1133,0.6,random,56,5,91.97,5
12_1.txt,1133,0.6,random,113,10,92.14,4
12_1.txt,1133,0.6,random,283,25,93.29,3
12_1.txt,1133,0.7,random,56,5,95.23,5
12_1.txt,1133,0.7,random,113,10,95.41,4
12_1.txt,1133,0.7,random,283,25,95.85,4
12_1.txt,1133,0.8,random,56,5,97.0,5
12_1.txt,1133,0.8,random,113,10,97.09,4
12_1.txt,1133,0.8,random,283,25,97.35,4
12_1.txt,1133,0.9,random,56,5,98.5,4
12_1.txt,1133,0.9,random,113,10,98.5,4
12_1.txt,1133,0.9,random,283,25,98.68,3
12_2.txt,1133,0.1,degree,56,5,32.48,7
12_2.txt,1133,0.1,degree,113,10,35.48,6
12_2.txt,1133,0.1,degree,283,25,44.4,3
12_2.txt,1133,0.2,degree,56,5,62.14,7
12_2.txt,1133,0.2,degree,113,10,62.14,7
12_2.txt,1133,0.2,degree,283,25,63.28,4
12_2.txt,1133,0.3,degree,56,5,75.55,6
12_2.txt,1133,0.3,degree,113,10,75.55,5
12_2.txt,1133,0.3,degree,283,25,75.9,4
12_2.txt,1133,0.4,degree,56,5,81.64,5
12_2.txt,1133,0.4,degree,113,10,81.64,4
12_2.txt,1133,0.4,degree,283,25,81.99,3
12_2.txt,1133,0.5,degree,56,5,87.73,4
12_2.txt,1133,0.5,degree,113,10,87.73,4
12_2.txt,1133,0.5,degree,283,25,87.73,4
12_2.txt,1133,0.6,degree,56,5,91.97,4
12_2.txt,1133,0.6,degree,113,10,91.97,4
12_2.txt,1133,0.6,degree,283,25,91.97,4
